loss,val_loss,recall,val_recall
0.8722399867254829,0.7797054045439595,"[0.7689755, 0.5252381, 0.07200577, 0.65034634]","[0.7979798, 0.5637374, 0.12558922, 0.7180808]"
0.7739241601297343,0.7379278487699846,"[0.77935064, 0.55919915, 0.14163059, 0.6724675]","[0.80631316, 0.5459091, 0.24309765, 0.74737376]"
0.7387544807819899,0.7105572688072065,"[0.7863444, 0.57569504, 0.1943723, 0.6848485]","[0.81021327, 0.5605612, 0.32502806, 0.7437935]"
0.7147405425222151,0.6937093090107398,"[0.79175323, 0.5862374, 0.23358586, 0.6935931]","[0.81313133, 0.5582407, 0.33425927, 0.7580808]"
0.6956544457032745,0.6699377669667183,"[0.79610676, 0.5942453, 0.26308802, 0.7006407]","[0.8157845, 0.5638316, 0.36552188, 0.7637172]"
0.6808460715420418,0.6629514725038945,"[0.7995358, 0.6005724, 0.28609908, 0.70646703]","[0.81260383, 0.58007854, 0.38569024, 0.7629349]"
0.668211208497314,0.6736851947746206,"[0.80248195, 0.6063224, 0.3059163, 0.7113523]","[0.8051852, 0.59199613, 0.3986051, 0.76530546]"
0.656547151548674,0.6442797933424379,"[0.8050072, 0.6115765, 0.32278138, 0.7156403]","[0.80891836, 0.59982324, 0.4131734, 0.7638384]"
0.6460624175399948,0.654240341285174,"[0.80732083, 0.6165047, 0.33812732, 0.7193715]","[0.81271976, 0.59958476, 0.43164983, 0.7655967]"
0.6358330889458701,0.6355830527071742,"[0.80936366, 0.6211717, 0.35141414, 0.7224271]","[0.81207746, 0.60849833, 0.43814814, 0.76460606]"
0.6269558838067766,0.6261675359650501,"[0.81117934, 0.6252945, 0.3624951, 0.72529584]","[0.8160269, 0.6155219, 0.4516376, 0.75947046]"
0.6192889254646468,0.6378076776525541,"[0.81290644, 0.6290272, 0.37395382, 0.72791606]","[0.8189534, 0.6178535, 0.4661616, 0.7584007]"
0.6122859864572479,0.628939304308566,"[0.8145399, 0.63265955, 0.38409367, 0.73031634]","[0.8175136, 0.620202, 0.47303808, 0.7622999]"
0.6039365956467804,0.6205227192287389,"[0.8160688, 0.63603485, 0.393826, 0.7326737]","[0.81828284, 0.62377584, 0.47941318, 0.76323956]"
0.5985755423046307,0.6291753946783282,"[0.81734586, 0.63916785, 0.40315536, 0.7348456]","[0.8216341, 0.62197083, 0.48680136, 0.76503253]"
0.5909835811505467,0.6255922327162803,"[0.8185516, 0.6422321, 0.41181457, 0.73698866]","[0.8250316, 0.6233754, 0.4955387, 0.7633439]"
0.5855946485953364,0.6185281522105974,"[0.81980985, 0.6450641, 0.41989645, 0.73892456]","[0.8266924, 0.62587047, 0.49908894, 0.7633274]"
0.5802778839302576,0.6127482507937789,"[0.82102054, 0.64772487, 0.4275453, 0.74070144]","[0.8285185, 0.62910026, 0.5054807, 0.76142347]"
0.5750141636939923,0.6213983879962711,"[0.8221873, 0.6502772, 0.43473077, 0.7423559]","[0.8317544, 0.63116604, 0.5115541, 0.75903773]"
0.5701786498584582,0.6030140099093823,"[0.823228, 0.6527662, 0.4416883, 0.7439206]","[0.83318686, 0.63295287, 0.5166835, 0.7595471]"
0.5644824161516312,0.5923448378474271,"[0.82426167, 0.6550828, 0.44863603, 0.74549025]","[0.8334985, 0.63376784, 0.5213885, 0.76205385]"
0.5604369717863681,0.6003747991104161,"[0.8251823, 0.6573331, 0.4549259, 0.74699134]","[0.833996, 0.6339256, 0.52878785, 0.7636134]"
0.5542487654022896,0.6061968905985563,"[0.82606685, 0.65952194, 0.46113935, 0.74839073]","[0.83420146, 0.6331928, 0.53782755, 0.765658]"
0.5502230682790195,0.5986746063645279,"[0.82694983, 0.6616763, 0.4672559, 0.7497986]","[0.8348162, 0.63523006, 0.54071265, 0.7660073]"
0.5467642317871118,0.6002122189483883,"[0.82779336, 0.66380894, 0.47291774, 0.75106263]","[0.83476096, 0.6384862, 0.54175085, 0.7655111]"
0.5415389229056379,0.6095893603475274,"[0.8286103, 0.6657925, 0.47861028, 0.7523771]","[0.83542347, 0.6386545, 0.5420616, 0.7673012]"
0.5371592771199505,0.6000674421966179,"[0.8293865, 0.6678077, 0.48389181, 0.7536711]","[0.83563536, 0.6395935, 0.5458536, 0.7682043]"
0.5329459650749833,0.6169932712639782,"[0.8301649, 0.66970164, 0.48917234, 0.7548851]","[0.8360895, 0.6385618, 0.54699373, 0.7704004]"
0.5285540132035562,0.595994899573078,"[0.83093446, 0.67156094, 0.49412847, 0.75609595]","[0.8377662, 0.6385882, 0.5472077, 0.77112156]"
0.5249216321417693,0.596635142961059,"[0.8316763, 0.67343193, 0.49911496, 0.7572362]","[0.83812344, 0.64085746, 0.5497082, 0.77027047]"
