loss,val_loss,recall,val_recall
0.8002487511055293,0.7368681114775344,"[0.77492064, 0.58809525, 0.18181819, 0.6808225]","[0.8347138, 0.63878787, 0.2777778, 0.6488889]"
0.7092073719736576,0.8263784701352819,"[0.78924966, 0.60915583, 0.26060605, 0.70125544]","[0.77786195, 0.49513468, 0.3060606, 0.7770707]"
0.6642986354033863,0.7696549991421437,"[0.7982492, 0.6236604, 0.310101, 0.71420395]","[0.81919193, 0.53713804, 0.33827162, 0.7008754]"
0.6298934781537157,0.7572392066727088,"[0.80516595, 0.6358081, 0.35238096, 0.72316736]","[0.8375, 0.55994105, 0.31868687, 0.67814815]"
0.5974649129380489,0.7399526002860218,"[0.8107648, 0.64698124, 0.38718614, 0.731013]","[0.8188148, 0.54820204, 0.33265993, 0.71237713]"
0.5656987626992204,0.6461475756824472,"[0.8160847, 0.65708274, 0.41921598, 0.73782104]","[0.80994385, 0.55810887, 0.36705947, 0.7337935]"
0.53501324455476,0.623116733114118,"[0.82109255, 0.6666172, 0.44766027, 0.7442053]","[0.81556034, 0.56764793, 0.389899, 0.7424291]"
0.5012579254266724,0.6088950533764158,"[0.8259722, 0.67584056, 0.47597402, 0.7503842]","[0.81435186, 0.58170456, 0.41919193, 0.74853534]"
0.4653530571124793,0.6533102465843972,"[0.8308674, 0.6855347, 0.5019721, 0.75674844]","[0.8155406, 0.58358026, 0.42933035, 0.75719416]"
0.43004701796354267,0.7041712351314221,"[0.8356696, 0.69506496, 0.52633476, 0.7631472]","[0.8091818, 0.5935758, 0.44824916, 0.75724244]"
0.39705798079614524,0.6547138226413329,"[0.8404644, 0.7045087, 0.54869473, 0.7696943]","[0.8109091, 0.6014019, 0.45194367, 0.7607346]"
0.3627423591687632,0.6947342319112424,"[0.8451948, 0.71400315, 0.56993747, 0.77641654]","[0.8143182, 0.61279744, 0.46439394, 0.75252247]"
0.33192221616612044,0.7827525039962632,"[0.849929, 0.7233156, 0.5898768, 0.78300476]","[0.8203186, 0.61540276, 0.47158766, 0.7465579]"
0.3059186996369977,0.9441214017803011,"[0.85444957, 0.73220164, 0.60846215, 0.78949904]","[0.8245142, 0.6242256, 0.4707311, 0.7299375]"
0.28146966461326384,0.7936605935381716,"[0.8588677, 0.7407994, 0.62534875, 0.7958172]","[0.82260156, 0.62721884, 0.4775982, 0.7349226]"
0.2589684280991057,0.784263915386856,"[0.8631539, 0.74896646, 0.6409542, 0.80190116]","[0.82246, 0.6305072, 0.48583755, 0.73727274]"
0.24042081275035448,0.8035390256613473,"[0.8671997, 0.75679654, 0.6550802, 0.80767846]","[0.82390374, 0.6353397, 0.49443454, 0.7365518]"
0.2223428093343041,1.0209094944349837,"[0.87109506, 0.76424885, 0.6684784, 0.8132043]","[0.8181407, 0.6321736, 0.49947625, 0.7438421]"
0.20642084813220962,0.9074566751573548,"[0.87485534, 0.7713823, 0.68037516, 0.8186147]","[0.8196757, 0.6324898, 0.50627327, 0.74601096]"
0.1936488621889,0.873093046594859,"[0.8783925, 0.7780707, 0.6916378, 0.8236977]","[0.8198603, 0.63608587, 0.5074747, 0.7474478]"
0.18243171535110522,0.9235085271262642,"[0.88180375, 0.78438056, 0.7022676, 0.8285199]","[0.8190075, 0.6378002, 0.5121212, 0.7502277]"
0.1712700959760002,0.8983869258213407,"[0.88504064, 0.7904158, 0.71199006, 0.8331038]","[0.81989133, 0.64107287, 0.51496786, 0.7508586]"
0.161556679444731,0.9845281025864665,"[0.88809276, 0.79610956, 0.72091097, 0.8375055]","[0.82155323, 0.6455424, 0.5176255, 0.7470956]"
0.15182750298962605,1.115956768455648,"[0.8910089, 0.80157405, 0.72953343, 0.841728]","[0.81800365, 0.6444557, 0.52195567, 0.7506902]"
0.14413987971189782,1.0027255677592846,"[0.8937766, 0.8067209, 0.73774314, 0.84572697]","[0.81728214, 0.6449791, 0.522963, 0.7533778]"
0.13964207061656023,1.0183747269736139,"[0.8963947, 0.8116067, 0.7450882, 0.84947777]","[0.817296, 0.6456151, 0.5267418, 0.75520074]"
0.13076160291566588,1.0062647585014737,"[0.8989199, 0.8163091, 0.75207096, 0.8531228]","[0.8167702, 0.6482978, 0.5288689, 0.75565535]"
0.12335374864971829,1.0360630518336773,"[0.9013719, 0.82076323, 0.7588178, 0.8566218]","[0.8172499, 0.65174, 0.530784, 0.7538095]"
0.118960512249925,1.0215021523234744,"[0.9036657, 0.8249913, 0.76499975, 0.8599308]","[0.8179322, 0.65491116, 0.532927, 0.75260305]"
0.114297092346808,1.172089541000861,"[0.9058398, 0.82901204, 0.7709043, 0.86308897]","[0.8193569, 0.6572929, 0.5352413, 0.7493468]"
